start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
14.1,47,11,B2,11.75,voice,Der,single
14.7,47,11,B2,12.25,voice,Reif,single
15.6,50,2,D3,13.0,voice,hat,single
15.899999999999999,54,6,F#3,13.25,voice,ei,begin
17.7,55,7,G3,14.75,voice,nen,end
18.3,54,6,F#3,15.25,voice,wei,begin
19.2,58,10,A#3,16.0,voice,ßen,end
19.5,61,1,C#4,16.25,voice,Schein,single
21.3,58,10,A#3,17.75,voice,mir,single
21.9,64,4,E4,18.25,voice,ü,begin
23.499999999999996,61,1,C#4,19.583333333333332,voice,,single
23.900000000000002,58,10,A#3,19.916666666666668,voice,bers,end
24.3,55,7,G3,20.25,voice,Haar,single
24.7,54,6,F#3,20.583333333333332,voice,,single
25.1,52,4,E3,20.916666666666668,voice,ge,begin
25.5,50,2,D3,21.25,voice,streu,middle
26.4,49,1,C#3,22.0,voice,,single
26.7,47,11,B2,22.25,voice,et;,end
35.699999999999996,54,6,F#3,29.75,voice,da,single
36.3,54,6,F#3,30.25,voice,glaubt',single
38.1,54,6,F#3,31.75,voice,ich,single
38.699999999999996,54,6,F#3,32.25,voice,schon,single
39.3,55,7,F##3,32.75,voice,ein,single
39.9,58,10,A#3,33.25,voice,Greis,single
40.8,56,8,G#3,34.0,voice,zu,single
41.1,56,8,G#3,34.25,voice,sein,single
42.9,63,3,D#4,35.75,voice,und,single
43.5,63,3,D#4,36.25,voice,hab,single
45.1,61,1,C#4,37.583333333333336,voice,,single
45.49999999999999,59,11,B3,37.916666666666664,voice,mich,single
45.9,59,11,B3,38.25,voice,sehr,single
46.300000000000004,58,10,A#3,38.583333333333336,voice,,single
46.699999999999996,56,8,G#3,38.916666666666664,voice,ge,begin
47.1,56,8,G#3,39.25,voice,,single
47.1,54,6,F#3,39.25,voice,freu,middle
48.3,54,6,F#3,40.25,voice,et.,end
57.3,54,6,F#3,47.75,voice,Doch,single
57.9,54,6,F#3,48.25,voice,bald,single
59.699999999999996,54,6,F#3,49.75,voice,ist,single
60.3,54,6,F#3,50.25,voice,er,single
60.9,54,6,F#3,50.75,voice,hin,begin
61.5,50,2,D3,51.25,voice,weg,middle
