start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
33.42857142857142,55,7,G3,19.5,voice,Auf,single
34.285714285714285,57,9,A3,20.0,voice,ei,begin
35.57142857142857,57,9,A3,20.75,voice,nen,end
36.0,58,10,B-3,21.0,voice,To,begin
36.857142857142854,57,9,A3,21.5,voice,ten,middle
37.714285714285715,57,9,A3,22.0,voice,a,middle
39.42857142857142,55,7,G3,23.0,voice,cker,end
40.285714285714285,55,7,G3,23.5,voice,hat,single
41.14285714285714,55,7,G3,24.0,voice,mich,single
42.42857142857142,55,7,G3,24.75,voice,mein,single
42.857142857142854,57,9,A3,25.0,voice,Weg,single
43.714285714285715,54,6,F#3,25.5,voice,ge,begin
44.57142857142857,55,7,G3,26.0,voice,bracht.,end
47.14285714285714,55,7,G3,27.5,voice,All,begin
48.0,53,5,F3,28.0,voice,hier,end
49.285714285714285,53,5,F3,28.75,voice,will,single
49.71428571428571,53,5,F3,29.0,voice,ich,single
50.57142857142857,57,9,A3,29.5,voice,,single
50.57142857142857,55,7,G3,29.5,voice,ein,begin
51.42857142857142,53,5,F3,30.0,voice,keh,middle
53.14285714285714,52,4,E3,31.0,voice,"ren,",end
54.0,55,7,G3,31.5,voice,hab,single
54.857142857142854,57,9,A3,32.0,voice,ich,single
55.71428571428571,58,10,B-3,32.5,voice,bei,single
56.57142857142857,60,0,C4,33.0,voice,mir,single
57.857142857142854,52,4,E3,33.75,voice,ge,begin
58.285714285714285,53,5,F3,34.0,voice,dacht.,end
74.57142857142857,55,7,G3,43.5,voice,Ihr,single
75.42857142857143,57,9,A3,44.0,voice,grü,begin
76.71428571428571,57,9,A3,44.75,voice,nen,end
77.14285714285714,58,10,B-3,45.0,voice,To,begin
78.0,57,9,A3,45.5,voice,ten,middle
78.85714285714285,57,9,A3,46.0,voice,krän,middle
80.57142857142857,55,7,G3,47.0,voice,ze,end
81.42857142857143,55,7,G3,47.5,voice,könnt,single
82.28571428571428,55,7,G3,48.0,voice,wohl,single
83.57142857142857,55,7,G3,48.75,voice,die,single
84.0,57,9,A3,49.0,voice,Zei,begin
84.85714285714285,54,6,F#3,49.5,voice,chen,end
85.71428571428571,55,7,G3,50.0,voice,"sein,",single
88.28571428571428,55,7,G3,51.5,voice,die,single
89.14285714285714,53,5,F3,52.0,voice,mü,begin
90.42857142857143,53,5,F3,52.75,voice,de,end
90.85714285714285,53,5,F3,53.0,voice,Wand,begin
91.71428571428571,57,9,A3,53.5,voice,rer,end
92.14285714285714,55,7,G3,53.75,voice,,single
92.57142857142857,53,5,F3,54.0,voice,la,begin
94.28571428571428,52,4,E3,55.0,voice,den,end
95.14285714285714,55,7,G3,55.5,voice,ins,single
96.0,57,9,A3,56.0,voice,küh,begin
96.85714285714285,58,10,B-3,56.5,voice,le,end
97.71428571428571,60,0,C4,57.0,voice,Wirts,begin
99.0,52,4,E3,57.75,voice,haus,end
99.42857142857142,53,5,F3,58.0,voice,ein.,single
115.71428571428571,60,0,C4,67.5,voice,Sind,single
116.57142857142857,60,0,C4,68.0,voice,denn,single
117.85714285714285,60,0,C4,68.75,voice,in,single
118.28571428571428,57,9,A3,69.0,voice,die,begin
119.14285714285714,53,5,F3,69.5,voice,sem,end
120.0,53,5,F3,70.0,voice,Hau,begin
121.71428571428571,58,10,B-3,71.0,voice,se,end
122.57142857142857,62,2,D4,71.5,voice,die,single
123.42857142857142,62,2,D4,72.0,voice,Kam,begin
124.71428571428571,60,0,C4,72.75,voice,mern,end
125.14285714285714,57,9,A3,73.0,voice,all,single
126.0,60,0,C4,73.5,voice,be,begin
126.85714285714285,55,7,G3,74.0,voice,setzt?,end
129.42857142857142,60,0,C4,75.5,voice,bin,single
130.28571428571428,65,5,F4,76.0,voice,matt,single
131.57142857142856,60,0,C4,76.75,voice,zum,single
132.0,57,9,A3,77.0,voice,Nie,begin
132.85714285714286,60,0,C4,77.5,voice,der,middle
133.7142857142857,53,5,F3,78.0,voice,sin,middle
135.42857142857142,58,10,B-3,79.0,voice,"ken,",end
136.28571428571428,61,1,D-4,79.5,voice,bin,single
137.14285714285714,61,1,D-4,80.0,voice,töd,begin
138.42857142857142,60,0,C4,80.75,voice,lich,end
138.85714285714286,57,9,A3,81.0,voice,schwer,single
139.7142857142857,60,0,C4,81.5,voice,ver,begin
140.57142857142856,55,7,G3,82.0,voice,letzt.,end
150.0,55,7,G3,87.5,voice,O,single
150.85714285714286,56,8,A-3,88.0,voice,un,begin
152.14285714285714,56,8,A-3,88.75,voice,barm,middle
