start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
5.75,50,2,D3,11.5,voice,Wie,single
6.0,50,2,D3,12.0,voice,hat,single
6.375,52,4,E3,12.75,voice,der,single
6.5,50,2,D3,13.0,voice,Sturm,single
6.625,52,4,E3,13.25,voice,,single
6.75,53,5,F3,13.5,voice,zer,begin
6.875,55,7,G3,13.75,voice,,single
7.0,57,9,A3,14.0,voice,ris,middle
7.5,50,2,D3,15.0,voice,sen,end
7.75,57,9,A3,15.5,voice,des,single
8.0,57,9,A3,16.0,voice,Him,begin
8.375,62,2,D4,16.75,voice,mels,end
8.5,61,1,C#4,17.0,voice,grau,begin
8.75,62,2,D4,17.5,voice,es,end
9.0,64,4,E4,18.0,voice,Kleid!,single
9.75,57,9,A3,19.5,voice,die,single
10.0,58,10,B-3,20.0,voice,Wol,begin
10.375,55,7,G3,20.75,voice,ken,middle
10.5,52,4,E3,21.0,voice,fet,middle
10.625,49,1,C#3,21.25,voice,,single
10.75,52,4,E3,21.5,voice,zen,end
10.875,55,7,G3,21.75,voice,,single
11.0,58,10,B-3,22.0,voice,flat,begin
11.5,49,1,C#3,23.0,voice,tern,end
11.75,57,9,A3,23.5,voice,um,begin
12.0,50,2,D3,24.0,voice,her,end
12.25,57,9,A3,24.5,voice,in,single
12.5,52,4,E3,25.0,voice,mat,begin
12.75,57,9,A3,25.5,voice,tem,end
13.0,54,6,F#3,26.0,voice,"Streit,",single
13.25,63,3,E-4,26.5,voice,um,begin
13.5,62,2,D4,27.0,voice,her,end
13.75,58,10,B-3,27.5,voice,in,single
14.0,56,8,G#3,28.0,voice,mat,begin
14.5,57,9,A3,29.0,voice,tem,end
15.0,50,2,D3,30.0,voice,Streit.,single
17.75,58,10,B-3,35.5,voice,Und,single
18.0,58,10,B-3,36.0,voice,ro,begin
18.375,58,10,B-3,36.75,voice,te,end
18.5,58,10,B-3,37.0,voice,Feu,begin
18.625,60,0,C4,37.25,voice,,single
18.75,62,2,D4,37.5,voice,er,middle
18.875,60,0,C4,37.75,voice,,single
19.0,58,10,B-3,38.0,voice,flam,middle
19.5,53,5,F3,39.0,voice,men,end
19.75,58,10,B-3,39.5,voice,ziehn,single
19.875,57,9,A3,39.75,voice,,single
20.0,55,7,G3,40.0,voice,zwi,begin
20.25,57,9,A3,40.5,voice,schen,end
20.5,58,10,B-3,41.0,voice,ih,begin
20.75,62,2,D4,41.5,voice,nen,end
20.875,60,0,C4,41.75,voice,,single
21.0,58,10,B-3,42.0,voice,hin:,single
21.75,58,10,B-3,43.5,voice,das,single
22.0,58,10,B-3,44.0,voice,nenn,single
22.375,58,10,B-3,44.75,voice,ich,single
22.5,58,10,B-3,45.0,voice,ei,begin
22.625,60,0,C4,45.25,voice,,single
22.75,62,2,D4,45.5,voice,nen,end
22.875,60,0,C4,45.75,voice,,single
23.0,58,10,B-3,46.0,voice,Mor,begin
23.5,53,5,F3,47.0,voice,gen,end
23.75,58,10,B-3,47.5,voice,so,single
24.0,62,2,D4,48.0,voice,recht,single
24.25,63,3,E-4,48.5,voice,nach,single
24.5,60,0,C4,49.0,voice,mei,begin
24.75,62,2,D4,49.5,voice,nem,end
25.0,58,10,B-3,50.0,voice,Sinn!,single
25.75,58,10,B-3,51.5,voice,Mein,single
26.0,58,10,B-3,52.0,voice,Herz,single
26.375,55,7,G3,52.75,voice,sieht,single
26.5,52,4,E3,53.0,voice,an,single
26.625,49,1,C#3,53.25,voice,,single
26.75,52,4,E3,53.5,voice,dem,single
26.875,55,7,G3,53.75,voice,,single
27.0,58,10,B-3,54.0,voice,Him,begin
27.5,49,1,C#3,55.0,voice,mel,end
27.75,57,9,A3,55.5,voice,ge,begin
28.0,50,2,D3,56.0,voice,malt,end
28.25,57,9,A3,56.5,voice,sein,single
28.5,52,4,E3,57.0,voice,eig,begin
28.75,57,9,A3,57.5,voice,nes,end
29.0,54,6,F#3,58.0,voice,"Bild,",single
29.75,63,3,E-4,59.5,voice,es,single
30.0,63,3,E-4,60.0,voice,ist,single
30.375,63,3,E-4,60.75,voice,nichts,single
30.5,63,3,E-4,61.0,voice,als,single
30.75,63,3,E-4,61.5,voice,der,single
31.0,63,3,E-4,62.0,voice,Win,begin
31.5,51,3,E-3,63.0,voice,"ter,",end
31.75,62,2,D4,63.5,voice,es,single
32.0,61,1,C#4,64.0,voice,ist,single
32.375,61,1,C#4,64.75,voice,nichts,single
32.5,61,1,C#4,65.0,voice,als,single
32.75,61,1,C#4,65.5,voice,der,single
33.0,61,1,C#4,66.0,voice,Win,begin
33.5,49,1,C#3,67.0,voice,"ter,",end
33.75,61,1,C#4,67.5,voice,der,single
34.0,62,2,D4,68.0,voice,Win,begin
34.25,58,10,B-3,68.5,voice,ter,end
34.5,56,8,G#3,69.0,voice,kalt,single
34.75,57,9,A3,69.5,voice,und,single
35.0,50,2,D3,70.0,voice,wild!,single
