start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
24.0,55,7,G3,24.0,voice,Drü,begin
24.5,50,2,D3,24.5,voice,ben,end
25.0,55,7,G3,25.0,voice,hin,begin
25.5,57,9,A3,25.5,voice,term,end
26.0,58,10,B-3,26.0,voice,Dor,begin
26.5,55,7,G3,26.5,voice,fe,end
27.0,50,2,D3,27.0,voice,steht,single
27.5,55,7,G3,27.5,voice,ein,single
28.0,54,6,F#3,28.0,voice,Lei,begin
28.5,57,9,A3,28.5,voice,er,middle
29.0,50,2,D3,29.0,voice,"mann,",end
36.0,55,7,G3,36.0,voice,und,single
36.5,50,2,D3,36.5,voice,mit,single
37.0,55,7,G3,37.0,voice,star,begin
37.5,57,9,A3,37.5,voice,ren,end
38.0,58,10,B-3,38.0,voice,Fin,begin
38.5,55,7,G3,38.5,voice,gern,end
39.0,50,2,D3,39.0,voice,dreht,single
39.5,55,7,G3,39.5,voice,"er,",single
40.0,54,6,F#3,40.0,voice,was,single
40.5,57,9,A3,40.5,voice,er,single
41.0,50,2,D3,41.0,voice,kann.,single
48.0,55,7,G3,48.0,voice,Bar,begin
48.5,62,2,D4,48.5,voice,fuß,end
49.0,60,0,C4,49.0,voice,auf,single
49.5,58,10,B-3,49.5,voice,dem,single
50.0,57,9,A3,50.0,voice,Ei,begin
50.5,50,2,D3,50.5,voice,se,end
51.0,55,7,G3,51.0,voice,wankt,single
51.75,58,10,B-3,51.75,voice,er,single
52.0,57,9,A3,52.0,voice,hin,single
52.5,50,2,D3,52.5,voice,und,single
53.0,57,9,A3,53.0,voice,"her,",single
60.0,55,7,G3,60.0,voice,und,single
60.5,62,2,D4,60.5,voice,sein,single
61.0,60,0,C4,61.0,voice,klei,begin
61.5,58,10,B-3,61.5,voice,ner,end
62.0,57,9,A3,62.0,voice,Tel,begin
62.5,50,2,D3,62.5,voice,ler,end
63.0,55,7,G3,63.0,voice,bleibt,single
63.75,58,10,B-3,63.75,voice,ihm,single
64.0,57,9,A3,64.0,voice,im,begin
64.5,50,2,D3,64.5,voice,mer,end
65.0,57,9,A3,65.0,voice,"leer,",single
72.0,55,7,G3,72.0,voice,und,single
72.5,57,9,A3,72.5,voice,sein,single
73.0,58,10,B-3,73.0,voice,klei,begin
73.5,60,0,C4,73.5,voice,ner,end
74.0,62,2,D4,74.0,voice,Tel,begin
74.75,60,0,C4,74.75,voice,ler,end
75.0,58,10,B-3,75.0,voice,bleibt,single
75.5,57,9,A3,75.5,voice,ihm,single
76.0,55,7,G3,76.0,voice,im,begin
76.5,50,2,D3,76.5,voice,mer,end
77.0,55,7,G3,77.0,voice,leer.,single
90.0,55,7,G3,90.0,voice,Kei,begin
90.5,50,2,D3,90.5,voice,ner,end
91.0,55,7,G3,91.0,voice,mag,single
91.5,57,9,A3,91.5,voice,ihn,single
92.0,58,10,B-3,92.0,voice,hö,begin
92.5,55,7,G3,92.5,voice,"ren,",end
93.0,50,2,D3,93.0,voice,kei,begin
93.5,55,7,G3,93.5,voice,ner,end
94.0,54,6,F#3,94.0,voice,sieht,single
94.5,57,9,A3,94.5,voice,ihn,single
95.0,50,2,D3,95.0,voice,"an,",single
102.0,55,7,G3,102.0,voice,und,single
102.5,50,2,D3,102.5,voice,die,single
103.0,55,7,G3,103.0,voice,Hun,begin
103.5,57,9,A3,103.5,voice,de,end
104.0,58,10,B-3,104.0,voice,knur,begin
104.5,55,7,G3,104.5,voice,ren,end
105.0,50,2,D3,105.0,voice,um,single
105.5,55,7,G3,105.5,voice,den,single
106.0,54,6,F#3,106.0,voice,al,begin
106.5,57,9,A3,106.5,voice,ten,end
107.0,50,2,D3,107.0,voice,Mann.,single
114.0,55,7,G3,114.0,voice,Und,single
114.5,62,2,D4,114.5,voice,er,single
115.0,60,0,C4,115.0,voice,läßt,single
115.5,58,10,B-3,115.5,voice,es,single
116.0,57,9,A3,116.0,voice,ge,begin
116.5,50,2,D3,116.5,voice,hen,end
117.0,55,7,G3,117.0,voice,al,begin
117.75,58,10,B-3,117.75,voice,"les,",end
118.0,57,9,A3,118.0,voice,wie,single
118.5,50,2,D3,118.5,voice,es,single
119.0,57,9,A3,119.0,voice,"will,",single
126.0,55,7,G3,126.0,voice,"dreht,",single
126.5,62,2,D4,126.5,voice,und,single
127.0,60,0,C4,127.0,voice,sei,begin
127.5,58,10,B-3,127.5,voice,ne,end
128.0,57,9,A3,128.0,voice,Lei,begin
